Date,Close,High,Low,Open,Volume
,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
2015-07-06,2247.5576171875,2255.820696662454,2231.031458237592,2243.426077450023,45003000
2015-07-07,2181.453125,2251.689305160985,2181.453125,2235.163145123106,64968500
2015-07-08,2202.111083984375,2222.768786460776,2164.9272195268527,2214.5057054702156,74970000
2015-07-09,2189.716064453125,2189.716064453125,2156.6637464991154,2173.18990547612,58611000
2015-07-10,2197.97900390625,2214.5051618303573,2189.7159249441966,2189.7159249441966,42836500
2015-07-13,2231.03173828125,2239.2948187934026,2197.979416232639,2197.979416232639,53040500
2015-07-14,2247.5576171875,2255.820696662454,2231.031458237592,2239.2945377125457,41833500
2015-07-15,2231.03173828125,2231.03173828125,2214.5055772569444,2226.9001980251733,61445000
2015-07-22,2239.294677734375,2243.426217730195,2193.8477377803565,2243.426217730195,89975500
2015-07-23,2272.346923828125,2297.1361629971593,2235.1630650745738,2247.557684659091,37129500
2015-07-24,2268.21533203125,2276.4784115650614,2247.5576331967213,2276.4784115650614,19026000
2015-07-27,2222.7685546875,2235.163174880925,2181.453154042751,2231.03163481645,64015500
2015-07-28,2148.40087890625,2185.584740271935,2131.874718299279,2181.4532001201924,112963500
2015-07-29,2123.611328125,2173.189802711576,2090.5590117339493,2148.400565418288,81937500
2015-07-30,2115.3486328125,2169.058656692505,2115.3486328125,2127.7432537078857,46801000
2015-07-31,2164.927001953125,2173.1900821132513,2123.6116011524928,2140.1377614727458,115876500
2015-08-03,2189.716064453125,2189.716064453125,2136.0060477778597,2136.0060477778597,61213000
2015-08-04,2197.97900390625,2214.5051618303573,2169.0582275390625,2197.97900390625,44712500
2015-08-05,2264.084228515625,2288.8734718935334,2185.5849578189154,2197.97957950787,73984500
2015-08-06,2280.610595703125,2297.136759440104,2264.084431966146,2264.084431966146,66426000
2015-08-07,2272.346923828125,2280.6100035511363,2243.4261447975855,2264.0838441051137,27262000
2015-08-10,2288.87353515625,2288.87353515625,2243.4265877072994,2255.8212097388314,25633500
2015-08-11,2239.294677734375,2297.1362376758534,2206.242357767816,2288.8731576842138,52619000
2015-08-12,2173.18994140625,2189.7161006564875,2144.269162718334,2181.4530210313687,148795000
2015-08-13,2181.453125,2185.5846650094695,2123.611564867424,2123.611564867424,102339000
2015-08-14,2189.716064453125,2193.8476041973763,2177.3214452203715,2189.716064453125,31860000
2015-08-18,2144.269775390625,2202.1113492932623,2136.006693404534,2189.716726314126,102204500
2015-08-19,2098.82275390625,2140.1381624477117,2090.5596721979578,2123.6119990311267,82035000
2015-08-20,2028.58642578125,2098.8226156759165,2024.4548851992108,2098.8226156759165,127105500
2015-08-21,1962.4813232421875,2016.1913384046054,1958.3497836143092,1999.665179893092,109838000
2015-08-24,1867.4564208984375,1958.3503174908394,1817.8779318480365,1883.982583915238,173094000
2015-08-25,1921.16650390625,1979.0080760668682,1883.9826360887096,1900.508799563172,184156000
2015-08-26,1958.3502197265625,1966.6133008224554,1904.6401926032602,1958.3502197265627,104006500
2015-08-27,2082.29638671875,2107.085629417783,2007.9286586216517,2007.9286586216517,113488500
2015-08-28,2123.611328125,2131.874407222763,2107.0851699294744,2123.611328125,108531000
2015-08-31,2131.874267578125,2131.874267578125,2102.95349263036,2123.6111890216207,98327000
2015-09-01,2078.1650390625,2123.6119882268886,2065.770416563121,2123.6119882268886,51436500
2015-09-02,2028.58642578125,2057.5072098555247,2016.1918040351325,2016.1918040351325,106837000
2015-09-03,2032.7177734375,2057.507014576982,2024.4546930576728,2053.375474387068,44130500
2015-09-04,2024.4544677734375,2028.5860075035873,2012.0598485829878,2028.5860075035873,50424000
2015-09-07,1970.7447509765625,2016.191694919418,1970.7447509765625,2016.191694919418,35620000
2015-09-08,1950.0869140625,1983.1392346398306,1941.8238339181673,1954.2184541346664,66183500
2015-09-09,1970.7447509765625,1987.270912410328,1966.613210618121,1966.613210618121,53327500
2015-09-10,1970.7447509765625,1987.270912410328,1945.9555088259137,1958.3501299012382,63130500
2015-09-11,1970.7447509765625,1983.1393720518868,1966.613210618121,1983.1393720518868,45032500
2015-09-14,1999.6658935546875,2003.7974346570732,1970.7451058379875,1983.1397291451447,35836000
2015-09-15,1974.8759765625,1999.6652147620293,1954.2182780628923,1983.139055962343,38335000
2015-09-16,1958.3502197265625,1970.7448413704017,1950.0871386306699,1966.6133008224554,66782000
2015-09-17,2020.32373046875,2020.32373046875,1970.7452340155291,1974.876775386631,57698000
2015-09-18,2028.58642578125,2028.58642578125,1991.4025605428972,1999.6656417069757,99438000
2015-09-21,2012.06005859375,2020.3231389165169,1987.2708176254491,1999.6654381095996,47211000
2015-09-22,2007.92822265625,2016.1913017618313,1991.4020644450875,1991.4020644450875,58871000
2015-09-23,1962.4813232421875,1983.139021381579,1958.3497836143092,1970.744402497944,90731500
2015-09-25,1950.0869140625,1979.0076945676642,1937.6922938460011,1970.7446144233315,71245500
2015-09-28,1896.3770751953125,1941.8240203524988,1892.2455347264774,1941.8240203524988,49442500
2015-09-29,1966.6131591796875,1979.0077799308199,1867.4561931706276,1879.85081392176,68056000
2015-09-30,2028.58642578125,2057.5072098555247,1966.613317050662,1983.1394793788188,91292000
2015-10-01,1983.13916015625,2065.7699584960938,1983.13916015625,2032.7176391601563,49868500
2015-10-02,1962.4813232421875,2040.980576171875,1962.4813232421875,1983.139021381579,43348000
2015-10-05,2074.033203125,2115.3486055776893,2012.0600994459662,2032.7178006723107,110755500
2015-10-06,2140.137939453125,2160.7956415713984,2082.2963735219596,2082.2963735219596,141434500
2015-10-07,2148.40087890625,2181.4532001201924,2140.1377986027646,2148.40087890625,121875500
2015-10-08,2164.927001953125,2206.2424027537572,2152.5323817129356,2164.927001953125,80631000
2015-10-09,2181.453125,2218.636985085227,2181.453125,2202.1108250473485,148204000
2015-10-12,2210.373779296875,2247.557637266355,2189.7160804249415,2189.7160804249415,154913500
2015-10-13,2140.137939453125,2214.5056670789095,2136.0063990294702,2214.5056670789095,86162000
2015-10-15,2144.269775390625,2173.190562341944,2136.006693404534,2148.4013163836707,112243500
2015-10-16,2115.3486328125,2148.4009552001953,2107.085552215576,2148.4009552001953,80741500
2015-10-19,2169.058349609375,2193.8475878906247,2115.3483333333334,2115.3483333333334,75688000
2015-10-20,2181.453125,2197.979285037879,2173.1900449810605,2193.847745028409,76519500
2015-10-21,2202.111083984375,2231.031867451337,2197.979543489095,2197.979543489095,48500500
2015-10-22,2214.505859375,2231.0320225046644,2206.242777810168,2222.768940939832,41297500
2015-10-23,2226.900146484375,2276.4786284098154,2218.6370661634683,2276.4786284098154,54593500
2015-10-26,2255.821044921875,2268.2156660478195,2243.4264237959305,2255.821044921875,72511000
2015-10-27,2255.821044921875,2264.084125672505,2222.7687219193567,2239.294883420616,41899000
2015-10-28,2243.42578125,2268.215016401934,2218.6365460980664,2218.6365460980664,51959500
2015-10-29,2173.18994140625,2268.2153570951164,2148.4007025308933,2251.689197844879,73029000
2015-10-30,2131.874267578125,2189.7158174736555,2131.874267578125,2189.7158174736555,66730000
2015-11-02,2111.217529296875,2131.8752350629893,2094.6913646839835,2115.3490704500978,85304000
2015-11-03,2173.18994140625,2185.584560843928,2131.874543280656,2131.874543280656,61280000
2015-11-04,2218.63671875,2251.6890348580073,2189.7159421554934,2189.7159421554934,81950500
2015-11-05,2239.294677734375,2268.215457705114,2202.110817771996,2231.0315977427354,58454500
2015-11-06,2239.294677734375,2272.346997700934,2222.7685177510953,2272.346997700934,28853500
2015-11-09,2169.058349609375,2231.0314453124997,2152.5321907552084,2231.0314453124997,37358000
2015-11-10,2136.006103515625,2189.71612159242,2136.006103515625,2148.4007230718084,68137000
2015-11-11,2144.269775390625,2169.059021348898,2136.006693404534,2140.1382343975797,43298000
2015-11-12,2144.269775390625,2197.979808300217,2144.269775390625,2144.269775390625,26996500
2015-11-13,2145.0986328125,2161.6951406098888,2140.949505863153,2140.949505863153,39106500
2015-11-16,2140.95068359375,2140.95068359375,2099.4593912760415,2132.6524251302085,36399000
2015-11-17,2178.29248046875,2207.336380208333,2174.1433519345237,2174.1433519345237,77918000
2015-11-18,2169.993408203125,2211.4846779584427,2165.844281227593,2178.2916621541885,34843500
2015-11-19,2149.247802734375,2194.8882000897383,2149.247802734375,2174.1425649282096,85414000
2015-11-20,2182.441162109375,2190.7394174786123,2140.949885263189,2149.2481406324264,51167500
2015-11-23,2207.33642578125,2211.48555440114,2186.590782681802,2199.038168541471,52341000
2015-11-24,2236.380126953125,2252.9766399546324,2199.037972699733,2199.037972699733,94665500
2015-11-25,2240.52880859375,2261.2744457103586,2232.230553747106,2236.3796811704283,51458500
2015-11-26,2244.67822265625,2277.871246281481,2240.5290947030962,2257.1256065157118,84898500
2015-11-27,2182.441162109375,2257.1254604325095,2174.1429067401377,2257.1254604325095,23257500
2015-11-30,2053.818115234375,2178.291940400095,2053.818115234375,2174.142812894571,356188000
2015-12-01,2199.037841796875,2211.485225807046,2107.757025722288,2107.757025722288,144760000
2015-12-02,2207.33642578125,2232.2311975005873,2174.1433968221336,2203.1872971613607,69710500
2015-12-03,2207.33642578125,2215.634683021029,2178.292525442023,2190.739911301692,38554500
2015-12-04,2178.29248046875,2207.336380208333,2174.1433519345237,2207.336380208333,45929500
2015-12-07,2194.88916015625,2215.6348043921316,2186.5909024618973,2190.740031309074,49197000
2015-12-08,2161.696044921875,2215.634717827795,2157.5469162368045,2169.9943022920165,52757500
2015-12-09,2161.696044921875,2161.696044921875,2161.696044921875,2161.696044921875,0
2015-12-10,2240.52880859375,2240.52880859375,2140.9497504340275,2140.9497504340275,76059500
2015-12-11,2190.7392578125,2232.2305316347065,2161.6953661369553,2232.2305316347065,59727500
2015-12-14,2190.7392578125,2190.7392578125,2149.2479839902935,2157.5462387547345,47580500
2015-12-15,2174.142822265625,2190.7393323592555,2165.8445672188095,2165.8445672188095,47291500
2015-12-16,2236.380126953125,2248.8275117042554,2203.18710095011,2219.7836139516176,70100000
2015-12-17,2257.125244140625,2290.3182624368105,2252.976116853602,2290.3182624368105,114667500
2015-12-18,2194.88916015625,2240.529577475189,2194.88916015625,2232.2313197808367,90887000
2015-12-21,2186.590087890625,2219.783106302627,2182.4409605891246,2182.4409605891246,34568000
2015-12-22,2190.7392578125,2207.3357673413825,2186.5901304302793,2190.7392578125,61600500
2015-12-23,2186.590087890625,2207.3357243981263,2178.2918332876247,2182.4409605891246,45442000
2015-12-28,2211.4853515625,2223.932736280488,2174.1431974085367,2174.1431974085367,65440500
2015-12-29,2199.037841796875,2223.932609817217,2190.739585790094,2190.739585790094,57153500
2015-12-30,2207.33642578125,2273.7224836994833,2199.038168541471,2199.038168541471,72863000
2016-01-04,2194.88916015625,2228.08219093366,2182.441773614721,2186.5909024618973,77479500
2016-01-05,2219.78369140625,2248.827590172313,2190.739792640187,2190.739792640187,96609000
2016-01-06,2190.7392578125,2240.5287863991475,2190.7392578125,2211.4848947236032,105370000
2016-01-07,2157.54638671875,2182.441152719351,2157.54638671875,2174.1428973858174,146746500
2016-01-08,2157.54638671875,2174.1428973858174,2149.2481313852163,2149.2481313852163,125820000
2016-01-11,2116.055419921875,2153.3975743910846,2116.055419921875,2149.248446116728,75952000
2016-01-12,2174.142822265625,2194.8884598826635,2140.9498020783635,2140.9498020783635,86093500
2016-01-13,2186.590087890625,2207.3357243981263,2182.4409605891246,2194.8883424936257,76587000
2016-01-14,2161.696044921875,2182.441688347229,2153.3977875517335,2157.5469162368045,119213500
2016-01-15,2157.54638671875,2182.441152719351,2157.54638671875,2174.1428973858174,68326000
2016-01-18,2153.3974609375,2174.143101216281,2128.5026926029623,2132.651820658719,81317000
2016-01-19,2169.993408203125,2174.142535178657,2149.247773325466,2165.844281227593,54711000
2016-01-20,2161.696044921875,2169.9943022920165,2153.3977875517335,2157.5469162368045,75676000
2016-01-21,2149.247802734375,2165.844310863598,2149.247802734375,2165.844310863598,76938000
2016-01-22,2157.54638671875,2174.1428973858174,2149.2481313852163,2165.8446420522837,71511000
2016-01-25,2178.29248046875,2194.8889946056547,2161.6959663318453,2190.7398660714284,56835500
2016-01-26,2157.54638671875,2182.441152719351,2153.3972590519834,2165.8446420522837,57143000
2016-01-27,2174.142822265625,2190.7393323592555,2169.9936947422175,2174.142822265625,122278500
2016-01-28,2182.441162109375,2203.186800532468,2174.1429067401377,2174.1429067401377,126774000
2016-01-29,2174.142822265625,2194.8884598826635,2153.3971846485865,2190.7393323592555,175698000
2016-02-01,2194.88916015625,2194.88916015625,2153.397871684487,2174.143515920369,89371000
2016-02-02,2174.142822265625,2194.8884598826635,2169.9936947422175,2194.8884598826635,96631000
2016-02-03,2165.84521484375,2174.143472371887,2153.3978285515445,2157.546957315613,65229000
2016-02-04,2182.441162109375,2199.0376728478495,2157.5463960016637,2157.5463960016637,82874000
2016-02-05,2228.081787109375,2252.9765556804296,2174.1431218720904,2174.1431218720904,265133500
2016-02-09,2207.33642578125,2228.082068880698,2190.739911301692,2223.932940260808,54516500
2016-02-10,2203.18701171875,2223.932652130414,2199.037883636417,2199.037883636417,69001500
2016-02-11,2215.634033203125,2248.827052427142,2190.7392687851125,2190.7392687851125,159586000
2016-02-12,2203.18701171875,2248.8274206244114,2199.037883636417,2219.7835240480813,121062500
2016-02-15,2215.634033203125,2232.2305428151335,2211.4849058001228,2223.9322880091295,64452500
2016-02-16,2223.9326171875,2244.6782572732045,2211.4852331360776,2211.4852331360776,100538500
2016-02-17,2223.9326171875,2236.380001238923,2215.6343611532184,2223.9326171875,76406500
2016-02-18,2223.9326171875,2252.976513307486,2223.9326171875,2240.5291292560637,146528500
2016-02-19,2165.84521484375,2207.3365024844347,2145.0995710234074,2207.3365024844347,147712000
2016-02-22,2186.590087890625,2199.0374697951256,2157.5461967801234,2161.6953240816238,55658000
2016-02-23,2174.142822265625,2203.186714929479,2161.695439695402,2190.7393323592555,92492000
2016-02-24,2161.696044921875,2182.441688347229,2136.8012728114504,2161.696044921875,84799500
