Date,Close,High,Low,Open,Volume
,TLKM.JK,TLKM.JK,TLKM.JK,TLKM.JK,TLKM.JK
2015-07-06,2316.54345703125,2324.449748693473,2288.8714362134706,2312.590311200139,32652400
2015-07-07,2269.10595703125,2316.5437122305093,2269.10595703125,2316.5437122305093,44500500
2015-07-08,2292.824951171875,2332.3564158472523,2284.9186582367993,2332.3564158472523,100674400
2015-07-09,2273.05908203125,2312.5905443274455,2249.3402046535325,2312.5905443274455,45051300
2015-07-10,2273.05908203125,2292.824813179348,2265.152789572011,2292.824813179348,56693900
2015-07-13,2284.918701171875,2288.871847713695,2273.0592615464157,2288.871847713695,43617400
2015-07-14,2277.012451171875,2292.825037638346,2277.012451171875,2292.825037638346,35288900
2015-07-15,2233.527587890625,2284.9184881429755,2213.761857024336,2269.1059034499444,84776900
2015-07-22,2265.152587890625,2308.637192544721,2241.4337126247547,2277.01202552356,161757100
2015-07-23,2249.340087890625,2257.2463799394495,2237.480649817388,2257.2463799394495,43284000
2015-07-24,2257.24658203125,2265.152874787927,2237.480850139558,2241.433996517896,50080200
2015-07-27,2233.527587890625,2257.2464649301714,2229.5744417173673,2257.2464649301714,67065700
2015-07-28,2249.340087890625,2265.1526719882745,2233.5275037929755,2245.3869418662125,56580900
2015-07-29,2257.24658203125,2269.1060211662652,2249.340289274573,2265.152874787927,43291300
2015-07-30,2269.10595703125,2288.8716883642746,2265.152810764645,2273.059103297855,63805300
2015-07-31,2324.449951171875,2332.3562435228,2269.1059047154017,2277.0121970663267,87348300
2015-08-03,2308.63720703125,2324.449790641053,2277.0120398116437,2324.449790641053,86428100
2015-08-04,2273.05908203125,2312.5905443274455,2273.05908203125,2277.0122282608695,53123700
2015-08-05,2324.449951171875,2324.449951171875,2288.8716355927136,2308.6373664700254,75991400
2015-08-06,2316.54345703125,2340.262332017918,2316.54345703125,2332.3560403556953,69266700
2015-08-07,2336.3095703125,2344.2158632746405,2320.496984388219,2328.4032773503595,67858700
2015-08-10,2344.215576171875,2348.168722168792,2320.496700190372,2348.168722168792,53349200
2015-08-11,2324.449951171875,2344.215682049187,2296.7779279436386,2332.3562435228,61717200
2015-08-12,2213.76171875,2292.824637276786,2201.9022809709822,2292.824637276786,89375300
2015-08-13,2233.527587890625,2261.199611103429,2217.715003197594,2221.6681493708516,77677400
2015-08-14,2273.05908203125,2292.824813179348,2233.5276197350545,2233.5276197350545,56381100
2015-08-18,2273.05908203125,2284.9185207201085,2253.293350883152,2269.1059358016305,93592100
2015-08-19,2277.012451171875,2292.825037638346,2261.199864705404,2261.199864705404,62106400
2015-08-20,2269.10595703125,2277.0122495644596,2241.4339331650153,2273.059103297855,57510300
2015-08-21,2158.417724609375,2253.293228987809,2158.417724609375,2253.293228987809,98927300
2015-08-24,2103.07373046875,2174.2303604470158,2055.635977149906,2075.401707699424,92467600
2015-08-25,2138.652099609375,2190.04300033936,2095.1674912993876,2095.1674912993876,98001800
2015-08-26,2126.792724609375,2130.745870937645,2047.7297980439707,2126.792724609375,174946300
2015-08-27,2237.48095703125,2245.387250165636,2134.6991462842316,2134.6991462842316,116570700
2015-08-28,2265.152587890625,2269.10573376827,2229.5742749918195,2241.4337126247547,121094900
2015-08-31,2269.10595703125,2280.9653958310646,2245.38707943162,2257.246518231435,128880800
2015-09-01,2237.48095703125,2273.059276135987,2237.48095703125,2265.152983001601,47176700
